# Strings containing error / fail / invalid / missing / cannot / etc.
# total matches: 199 (incl. duplicates) | unique: 198
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string

A 0x00489670  QDC GetDisplayConfigBufferSizes failed: %i
A 0x004896d8  QDC path %i deviceName failed with %i
A 0x00489700  QDC path %i sourceDeviceName failed with %i
A 0x00489780  QDC path %i modeInfoIdx && sourceModeInfoIdx invalid (virtual mode %i)
A 0x004897c8  QDC path %i targetInfo.modeInfoIdx invalid
A 0x00489870  QDC path %i adapterName failed with %i
A 0x00489920  QDC path %i sourceModeIndex %u invalid (virtual mode %i)
A 0x00489978  Found missing monitors %s
A 0x004899a0  QDC path %i failed to grab HMONITOR from rect ltrb %i, %i, %i, %i
A 0x0048a348  Material %s error: %s
A 0x0048a678  Invalid variant resolution: w=%u h=%u
A 0x0048a6a0  Invalid texture resolution: w=%u h=%u d=%u
A 0x0048cca8  list too long
A 0x0048d3c0  Failed parsing %s with error: %s.
A 0x0048f0a8  Invalid parent configuration.
A 0x0048f558  Failed loading effect: %s
A 0x004910a0  Failed opening: %s
A 0x004910d0  VFS missing file: %s
A 0x004910e8  Cannot open %s, version %i not supported.
A 0x00491198  CreateProcess for compiler failed: %s (%s)
A 0x004d8792  SetUnhandledExceptionFilter
A 0x004d87c8  GetLastError
A 0x004d87d8  SetLastError
A 0x004d8a60  SetThreadErrorMode
A 0x004d8bac  FatalAppExitA
A 0x004d8daa  SendMessageTimeoutW
A 0x004d8dea  InvalidateRect
A 0x004d9aa6  RaiseException
A 0x004d9c6a  UnhandledExceptionFilter
A 0x004df168  .?AVexception@std@@
A 0x004df1c0  .?AVruntime_error@std@@
A 0x004df1e8  .?AVlength_error@std@@
A 0x004df290  .?AVsystem_error@std@@
A 0x004df2b8  .?AV_System_error@std@@
A 0x004df308  .?AVfailure@ios_base@std@@
A 0x004df338  .?AVbad_exception@std@@
A 0x004dfc18  .?AVlogic_error@std@@
A 0x004dfc40  .?AVfuture_error@std@@
A 0x004dfc68  .?AVexception@stdext@@
A 0x004e0198  .?AVinvalid_argument@std@@
A 0x004e07f0  .?AVerror_category@std@@
A 0x004e0820  .?AV_Generic_error_category@std@@
A 0x004e0a88  .?AV_Iostream_error_category2@std@@
A 0x004e0bd0  .?AV_ExceptionPtr_normal@?A0x6e02efe5@@
A 0x004e0c10  .?AV?$_ExceptionPtr_static@Vbad_alloc@std@@@?A0x6e02efe5@@
A 0x004e0c60  .?AV?$_ExceptionPtr_static@Vbad_exception@std@@@?A0x6e02efe5@@
U 0x0042c560  Assertion failed: %Ts, file %Ts, line %d
U 0x0042c610  Assertion failed!
U 0x0042c706  failure, see the Visual C++ documentation on asserts
U 0x004720c0  Module not found! If you have Windows N and you are trying to play a video, install the latest Media Feature Pack.
U 0x00472364  Crash caused by: '%s'. Error code: 0x%08X.
U 0x00475fd0  !HasParseError()
U 0x00477320  Process Error
