# Likely scene.json / project.json keys (camelCase identifiers, 3-28 chars)
# total matches: 1457 (incl. duplicates) | unique: 1133
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string
# NOTE: restricted to file-offset range 0x424e00..0x4da000 (data/read-only sections)

A 0x00441376  nineinferior
A 0x00441383  centinferior
A 0x00441390  dollarinferior
A 0x0044139f  periodinferior
A 0x004413ae  commainferior
A 0x00448186  gZgnhKhWhci
A 0x0044842c  ebegeq
A 0x0044894b  qYqaqnq
A 0x00448a16  lElblrl
A 0x00448e05  oEoOoZoaozo
A 0x00448ffe  q4qIqQ
A 0x004492fb  v8vUb
A 0x0044fa08  tcommaaccent
A 0x0044faa0  psnames
A 0x004506b8  smooth
A 0x00450758  raster1
A 0x00450974  spread
A 0x00450998  overlaps
A 0x00454ee8  eheeeije
A 0x00454f5a  eheeemje
A 0x0045500c  eheeemme
A 0x004551fc  eiemme
A 0x00455a0c  mvhjxo
A 0x00456858  directwrite
A 0x00456870  fallback
A 0x00459658  fghijk
A 0x00459f9f  dOeVelexe
A 0x00459fb1  fIftf
A 0x0045a073  pEqIqnq
A 0x0045a0d3  vBviv
A 0x0045af10  tkunM
A 0x0045af18  nhkaM
A 0x0045af30  ferpL
A 0x0045af40  fvbaL
A 0x0045af48  flahL
A 0x0045af58  utavM
A 0x0045af68  tiniL
A 0x0045af70  serpM
A 0x0045af78  svbaM
A 0x0045af90  nlahM
A 0x0045bf06  stuvwxyz
A 0x0045bf70  rafcL
A 0x0045bf98  fhprferpfwlbftsp
A 0x0045dbc0  eeeeeeeeee
A 0x0045f3c8  dddddddddddded
A 0x00464b39  nopqrstuvw
A 0x0046bf71  abcdefghijklmnopqrstuvwxyz
A 0x0046c61c  oRpqS
A 0x0046d480  frkrfvbafwlbflahftsputavtcjc
A 0x0046e1a8  losianif2nif3nifidem2demtini
A 0x0046ec58  tiniidemaniflosigilrgilrgilr
A 0x0046f428  successful
A 0x0046fc58  measuring
A 0x0046fc68  cutting
A 0x00471038  commentStyle
A 0x00471050  indentation
A 0x00471060  emitUTF8
A 0x00471070  precision
A 0x00471080  loglevel
A 0x00471098  verbose
A 0x00472488  wallpaper64
A 0x004725e0  unknownuser
A 0x00472608  anticrash
A 0x00472690  uihardwareacceleration
A 0x004726b8  steamlanguage
A 0x004726d8  language
A 0x0047294c  unmute
A 0x00472958  openWallpaper
A 0x00472978  location
A 0x00472998  monitor
A 0x004729d8  playinwindow
A 0x004729f8  height
A 0x00472a18  activate
A 0x00472a38  borderless
A 0x00472a54  preset
A 0x00472a68  openPlaylist
A 0x00472a78  playlist
A 0x00472a98  openProfile
A 0x00472aa8  profile
A 0x00472ac0  closeWallpaper
A 0x00472ad0  applyProperties
A 0x00472ae0  properties
A 0x00472b00  nextWallpaper
A 0x00472b10  hideIcons
A 0x00472b20  showIcons
A 0x00472b30  revealWallpaper
A 0x00472b40  workshopid
A 0x00472b50  getWallpaper
A 0x00472d48  safemode
