# C++ class/method/RTTI/vtable hints (std::, ::, vftable, operator, etc.)
# total matches: 175 (incl. duplicates) | unique: 174
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string

A 0x004d9f3a  UnmapViewOfFile
A 0x004df140  .?AVbad_alloc@std@@
A 0x004df168  .?AVexception@std@@
A 0x004df1c0  .?AVruntime_error@std@@
A 0x004df238  .?AVbad_function_call@std@@
A 0x004df268  .?AVregex_error@std@@
A 0x004df2e0  .?AVbad_cast@std@@
A 0x004df308  .?AVfailure@ios_base@std@@
A 0x004df338  .?AVbad_exception@std@@
A 0x004dfc18  .?AVlogic_error@std@@
A 0x004dfc40  .?AVfuture_error@std@@
A 0x004dfc68  .?AVexception@stdext@@
A 0x004dfc90  .?AV?$_Binder@U_Unforced@std@@P8AudioEventHandler@@EAAXW4WASAPICallbackType@4@AEBV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@2@@ZPEAV3@AEBU?$_Ph@$00@2@AEBU?$_Ph@$01@2@@std@@
A 0x004dfd60  .?AV?$_Binder@U_Unforced@std@@P8AudioProcessor@@EAAXW4WASAPICallbackType@4@AEBV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@2@@ZPEAV3@AEBU?$_Ph@$00@2@AEBU?$_Ph@$01@2@@std@@
A 0x004e0170  .?AVbad_alloc@stdext@@
A 0x004e07d0  .?AVtype_info@@
A 0x004e0908  .?AVios_base@std@@
A 0x004e0958  .?AV?$basic_ios@DU?$char_traits@D@std@@@std@@
A 0x004e09a0  .?AV?$basic_streambuf@DU?$char_traits@D@std@@@std@@
A 0x004e09f0  .?AV?$basic_ostream@DU?$char_traits@D@std@@@std@@
A 0x004e0a40  .?AV?$basic_filebuf@DU?$char_traits@D@std@@@std@@
A 0x004e0c10  .?AV?$_ExceptionPtr_static@Vbad_alloc@std@@@?A0x6e02efe5@@
A 0x004e0c60  .?AV?$_ExceptionPtr_static@Vbad_exception@std@@@?A0x6e02efe5@@
A 0x004e0cb0  .?AV?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
A 0x004e0d10  .?AV?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
A 0x004e0ed0  .?AV?$num_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
A 0x004e0f30  .?AV?$num_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
A 0x004e1010  .?AV?$money_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
A 0x004e1070  .?AV?$money_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
A 0x004e1160  .?AV?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
A 0x004e11c0  .?AV?$time_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
A 0x004e1220  .?AV?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
A 0x004e1280  .?AV?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
A 0x004e1360  .?AV?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
A 0x004e13c0  .?AV?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
A 0x004e14b0  .?AV?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
A 0x004e1510  .?AV?$time_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
A 0x004e15c0  .?AV?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
A 0x004e1620  .?AV?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
A 0x004e1710  .?AV?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
A 0x004e1770  .?AV?$time_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
U 0x0042d200  minkernel\crts\ucrt\inc\corecrt_internal_strtox.h
U 0x0042d270  __crt_strtox::floating_point_value::as_double
U 0x0042d2f0  __crt_strtox::floating_point_value::as_float
U 0x0042ea00  api-ms-win-core-processthreads-l1-1-2
U 0x0042ebe0  api-ms-win-security-systemfunctions-l1-1-0
U 0x004760a0  static_cast<std::ptrdiff_t>(sizeof(T) * count) <= (stackEnd_ - stackTop_)
U 0x00488330  D:\dev\we\windows\src\json\include\rapidjson\internal\../allocators.h
U 0x004884c0  allocator_
